"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.715110000E-3,1.180496216E-1,-6.976075768E-1,-1.388953775E-1
9.565423000E-3,9.666935354E-2,-7.116574645E-1,-1.340084672E-1
1.441552700E-2,8.628465235E-2,-7.422007322E-1,-1.511126757E-1
1.926547500E-2,9.728021920E-2,-7.580831647E-1,-1.712712198E-1
2.411542300E-2,1.064431891E-1,-7.690787315E-1,-1.706603467E-1
2.896542300E-2,1.082757786E-1,-7.776308656E-1,-1.566104591E-1
3.381537100E-2,1.101083755E-1,-7.812960744E-1,-1.517235339E-1
3.866537100E-2,1.107192412E-1,-7.819069028E-1,-1.456148922E-1
4.351531900E-2,1.076649204E-1,-7.916807532E-1,-1.272889525E-1
4.836526600E-2,1.113301069E-1,-8.161153197E-1,-1.046869531E-1
5.321526600E-2,1.235474050E-1,-8.582650423E-1,-8.575014025E-2
5.806521400E-2,1.473711282E-1,-9.089667797E-1,-6.925679743E-2
6.291516200E-2,1.821904182E-1,-9.639446139E-1,-5.520690605E-2
6.776516200E-2,2.273944169E-1,-1.017089844E0,-4.237874225E-2
7.261511000E-2,2.805396616E-1,-1.075121999E0,-2.771798894E-2
7.746505800E-2,3.294088244E-1,-1.151480079E0,-9.392046370E-3
8.231505800E-2,3.715584874E-1,-1.224783897E0,1.259908639E-2
8.716500600E-2,4.155407548E-1,-1.266322732E0,2.970330045E-2
9.201500600E-2,4.546361268E-1,-1.290757298E0,3.886627033E-2
9.686495400E-2,4.717403352E-1,-1.308472395E0,3.520108387E-2
1.017149020E-1,4.625773430E-1,-1.315802693E0,2.054032870E-2
1.065649020E-1,4.332558513E-1,-1.304807186E0,-8.399390499E-4
1.114148500E-1,3.825540543E-1,-1.271820426E0,-2.405280061E-2
1.162647980E-1,3.214675784E-1,-1.219896913E0,-5.520690605E-2
1.211147980E-1,2.579376400E-1,-1.144149780E0,-8.880446851E-2
1.259647460E-1,1.944077164E-1,-1.042746186E0,-1.181259751E-1
1.308147460E-1,1.308777779E-1,-9.162971973E-1,-1.474474818E-1
1.356646940E-1,7.223475724E-2,-7.764091492E-1,-1.743255407E-1
1.405146410E-1,1.481347065E-2,-6.334667802E-1,-1.993709952E-1
1.453646410E-1,-3.894263133E-2,-5.015199780E-1,-2.244164497E-1
1.502145890E-1,-9.208786488E-2,-3.848448098E-1,-2.500727773E-1
1.550645370E-1,-1.421787739E-1,-2.846629918E-1,-2.763399482E-1
1.599145370E-1,-1.879936308E-1,-2.003636509E-1,-3.019962609E-1
1.647644850E-1,-2.264781147E-1,-1.270598769E-1,-3.215439618E-1
1.696144850E-1,-2.515235841E-1,-5.986474827E-2,-3.380373120E-1
1.744644330E-1,-2.680169344E-1,1.221729559E-3,-3.496437371E-1
1.793143810E-1,-2.765690386E-1,4.886918142E-2,-3.551415205E-1
1.841643810E-1,-2.790125012E-1,7.696896046E-2,-3.581958413E-1
1.890143290E-1,-2.802342176E-1,8.002328873E-2,-3.612501621E-1
1.938643290E-1,-2.777907550E-1,6.047561392E-2,-3.685805500E-1
1.987142770E-1,-2.729038298E-1,2.871064469E-2,-3.795761168E-1
2.035642250E-1,-2.619082630E-1,-9.773836471E-3,-3.960694373E-1
2.084142250E-1,-2.429714650E-1,-4.948004708E-2,-4.180605710E-1
2.132641730E-1,-2.167042792E-1,-8.857539296E-2,-4.455494881E-1
2.181141730E-1,-1.904370934E-1,-1.282816082E-1,-4.699840844E-1
2.229641210E-1,-1.611155868E-1,-1.716530025E-1,-4.950295389E-1
2.278140690E-1,-1.342375278E-1,-2.241873741E-1,-5.225184560E-1
2.326640690E-1,-1.104138121E-1,-2.816086709E-1,-5.524508357E-1
