"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.357936000E-3,9.714859724E-1,4.134797573E0,9.726823807E0
9.207624000E-3,9.427721500E-1,4.151547432E0,9.585647583E0
1.405736300E-2,1.002592683E0,4.144368649E0,9.269794464E0
1.890699900E-2,1.117448211E0,4.108476639E0,9.145368576E0
2.375663400E-2,1.148554921E0,4.120440483E0,8.949156761E0
2.860626900E-2,1.457229018E0,3.929014683E0,8.788837433E0
3.345590500E-2,1.191625714E0,4.161118507E0,8.829515457E0
3.830554000E-2,6.412764788E-1,4.091726780E0,8.915657043E0
4.315517600E-2,7.585247755E-1,4.163511276E0,8.839086533E0
4.800481100E-2,1.031306505E0,4.015156269E0,8.681160927E0
5.285444700E-2,1.122233868E0,4.010370731E0,8.729017258E0
5.770408200E-2,1.062413216E0,4.091726780E0,9.011369705E0
6.255376900E-2,1.146162033E0,4.012763500E0,9.059226990E0
6.740335300E-2,1.284945726E0,3.775874138E0,9.090332985E0
7.225304000E-2,1.069591761E0,3.761517286E0,9.214759827E0
7.710267600E-2,8.279166222E-1,3.845266104E0,9.348757744E0
8.195231100E-2,7.537391186E-1,3.838087559E0,9.387042999E0
8.680194700E-2,7.250252366E-1,3.795016766E0,9.410971642E0
9.165158200E-2,6.604190469E-1,3.780659676E0,9.399007797E0
9.650121700E-2,4.857429862E-1,3.747160196E0,9.456435204E0
1.013508530E-1,4.929214716E-1,3.608376503E0,9.382257462E0
1.062004880E-1,4.211367965E-1,3.620340586E0,9.178867340E0
1.110501240E-1,3.014956415E-1,3.816552162E0,9.116654396E0
1.158997590E-1,6.269195080E-1,3.622733593E0,8.908478737E0
1.207493940E-1,6.891329288E-1,3.610769272E0,8.872586250E0
1.255990300E-1,4.737788737E-1,3.751945972E0,8.901300430E0
1.304486650E-1,4.211367965E-1,3.876372576E0,8.855836868E0
1.352983010E-1,4.211367965E-1,3.885943890E0,8.781659126E0
1.401479360E-1,4.450650215E-1,3.842873096E0,8.764909744E0
1.449975720E-1,3.996013701E-1,3.811766386E0,8.776873589E0
1.498472070E-1,4.019941986E-1,3.818944931E0,8.834300995E0
1.546968940E-1,4.857429862E-1,3.763910055E0,8.848658562E0
1.595465300E-1,6.053841114E-1,3.716053486E0,8.884550095E0
1.643961650E-1,6.580262184E-1,3.689732552E0,8.944371223E0
1.692458010E-1,6.723831892E-1,3.723232031E0,9.035298347E0
1.740954360E-1,6.699903607E-1,3.766302824E0,9.090332985E0
1.789450720E-1,7.274180651E-1,3.708875179E0,9.111868858E0
1.837947070E-1,8.015955687E-1,3.694518089E0,9.121439934E0
1.886443420E-1,9.571290612E-1,3.661018610E0,9.090332985E0
1.934939780E-1,1.294517040E0,3.515056372E0,9.047262192E0
