"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.660256300E-2,9.881250381E0,-2.469375038E1,-3.463125229E1
5.660256300E-2,9.806250572E0,-2.497500038E1,-3.586875153E1
6.660256300E-2,9.806250572E0,-2.411250114E1,-3.585000229E1
7.660256300E-2,9.825000763E0,-2.433750153E1,-3.541875076E1
8.660256300E-2,1.020000076E1,-2.439375114E1,-3.532500076E1
9.660256300E-2,9.881250381E0,-2.456250191E1,-3.521250153E1
1.066025630E-1,9.787500381E0,-2.467500114E1,-3.519375229E1
1.166025630E-1,9.975000381E0,-2.469375038E1,-3.525000000E1
1.266025630E-1,1.005000019E1,-2.480625153E1,-3.558750153E1
1.366025630E-1,1.006875038E1,-2.476875114E1,-3.532500076E1
1.466025630E-1,1.006875038E1,-2.508750153E1,-3.521250153E1
1.566025630E-1,1.021875000E1,-2.495625114E1,-3.540000153E1
1.666025630E-1,9.900000572E0,-2.491875076E1,-3.549375153E1
1.766025630E-1,1.006875038E1,-2.473125076E1,-3.532500076E1
1.866025630E-1,1.023750019E1,-2.448750114E1,-3.517500305E1
1.966025630E-1,1.014375019E1,-2.430000114E1,-3.498750305E1
2.066025630E-1,1.014375019E1,-2.413125038E1,-3.451875305E1
2.166025630E-1,1.033125019E1,-2.409375191E1,-3.436875153E1
2.266025630E-1,1.050000000E1,-2.403750038E1,-3.435000229E1
2.366025630E-1,1.053750038E1,-2.413125038E1,-3.427500153E1
2.466025630E-1,1.065000057E1,-2.433750153E1,-3.429375076E1
2.566025630E-1,1.066875076E1,-2.465625191E1,-3.472500229E1
2.666025630E-1,1.081875038E1,-2.506875038E1,-3.461250305E1
2.766025630E-1,1.083750057E1,-2.525625038E1,-3.459375000E1
2.866025630E-1,1.070625019E1,-2.546250153E1,-3.481875229E1
2.966025630E-1,1.074375057E1,-2.555625153E1,-3.481875229E1
3.066025630E-1,1.053750038E1,-2.585625076E1,-3.483750153E1
3.166025630E-1,1.048125076E1,-2.600625038E1,-3.481875229E1
3.266025630E-1,1.048125076E1,-2.630625153E1,-3.451875305E1
3.366025630E-1,1.044375038E1,-2.630625153E1,-3.399375153E1
3.466025630E-1,1.023750019E1,-2.623125076E1,-3.388125229E1
3.566025630E-1,1.014375019E1,-2.647500038E1,-3.390000153E1
3.666025630E-1,1.016250038E1,-2.651250076E1,-3.360000229E1
3.766025630E-1,9.693750381E0,-2.668125153E1,-3.358125305E1
3.866025630E-1,9.731250763E0,-2.668125153E1,-3.358125305E1
3.966025630E-1,9.675000191E0,-2.677500153E1,-3.331875229E1
4.066025630E-1,9.581250191E0,-2.664375114E1,-3.348750305E1
4.166025630E-1,9.562500000E0,-2.666250038E1,-3.380625153E1
4.266025630E-1,9.468750000E0,-2.688750076E1,-3.403125000E1
4.366025630E-1,9.450000763E0,-2.700000191E1,-3.382500076E1
4.466025630E-1,9.562500000E0,-2.711250114E1,-3.375000000E1
4.566025630E-1,9.712500572E0,-2.707500076E1,-3.337500000E1
4.666025630E-1,9.637500763E0,-2.696250153E1,-3.339375305E1
4.766025630E-1,9.731250763E0,-2.700000191E1,-3.358125305E1
4.866025630E-1,9.806250572E0,-2.673750114E1,-3.352500153E1
4.966025630E-1,9.581250191E0,-2.670000076E1,-3.343125153E1
5.066025630E-1,9.693750381E0,-2.647500038E1,-3.331875229E1
5.166025630E-1,9.787500381E0,-2.638125038E1,-3.341250229E1
5.266025630E-1,9.825000763E0,-2.617500114E1,-3.352500153E1
5.366025630E-1,9.937500000E0,-2.602500153E1,-3.391875076E1
5.466025630E-1,9.881250381E0,-2.623125076E1,-3.390000153E1
