Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
6.00019745,1.0863415,-8.140382767,-0.6891329288
6.004952398,1.253839016,-7.989634991,-0.418743968
6.009707294,1.557727575,-7.731209755,-0.1244267747
6.014462294,1.883151412,-7.520641804,0.07178468257
6.019217242,2.239681959,-7.334001541,-0.04067798331
6.023972189,2.510071039,-7.259823799,-0.342173636
6.028727137,2.82831645,-7.247859955,-0.7298108935
6.033482085,3.139383316,-7.245467186,-1.115055323
6.038237033,3.467200041,-7.221538544,-1.392622828
6.042991981,3.670589924,-7.188039303,-1.540977836
6.047746929,3.842873096,-7.06600523,-1.576870084
6.052501877,3.907479286,-6.876972198,-1.672582984
6.057256825,3.888336897,-6.60419035,-1.828116536
6.062011773,3.735196114,-6.269195557,-2.04586339
6.066766721,3.6299119,-5.953342915,-2.132004976
6.071521669,3.543770313,-5.702096462,-1.926222205
6.076276617,3.486342669,-5.424529076,-1.552941918
6.081031564,3.43609333,-5.252245903,-1.1820544
6.085786512,3.455235958,-5.158925533,-1.002592683
6.09054146,3.577269793,-5.168497086,-1.004985452
6.095296408,3.742374659,-5.350351334,-1.062413216
6.100051356,4.019941807,-5.706882,-1.196411371
6.104806304,4.491328239,-6.214160442,-1.304088354
6.109561252,4.979464054,-6.848258495,-1.40697968
6.1143162,5.534598827,-7.537391186,-1.440479279
6.119071148,6.051448345,-8.26241684,-1.416550994
6.123826096,6.391229153,-8.927620888,-1.330409408
6.128581044,6.659225464,-9.49232769,-1.208375454
6.133335992,6.793223381,-9.961320877,-1.064806104
6.138090939,6.82433033,-10.3657074,-0.9116654396
6.142845887,6.671189308,-10.66481018,-0.7058826685
6.147600835,6.42472887,-10.75813103,-0.5072783828
6.152355783,6.065805435,-10.74138069,-0.366101861
6.157110731,5.764309883,-10.69113159,-0.1579262912
6.161865731,5.477170944,-10.71027374,0.09571290761
6.166620679,5.398207664,-10.77488041,0.3684946895
6.171375627,5.458028316,-10.96869946,0.7178468108
6.176130575,5.570491314,-11.32522964,0.9834501147
6.180885523,5.678168297,-11.69133186,1.174875975
6.185640471,5.891129494,-12.19382381,1.306481123
6.190395419,6.130411625,-12.7250309,1.435693622
6.195150367,6.343372822,-13.11745358,1.593619823
6.199905314,6.551548481,-13.50030518,1.753939033
6.204660262,6.716653347,-13.82094383,1.938186288
6.20941521,6.697510719,-14.12483215,2.120040894
6.214170158,6.527620316,-14.42393494,2.457428932
6.218925106,6.293123722,-14.67518139,2.756531715
6.223680054,6.116054535,-14.97667694,2.883351326
6.228435002,5.666203976,-15.20878029,3.122633457
6.23318995,5.034498692,-15.43131351,3.40498662
6.237944898,4.407579422,-15.54138279,3.541377544
6.242699846,3.620340586,-15.61556053,3.610769272
6.247454794,3.067598581,-15.72802353,3.512663603
6.252209742,2.670390129,-15.85245037,3.160918713
6.256964689,2.179861546,-15.98405552,2.591426849
6.261719637,1.605584025,-16.11087418,2.053041935
6.266474585,0.9762716293,-16.31904984,1.426122308
6.271229585,0.4307080805,-16.50090408,0.9260223508
6.275984533,-0.2488535494,-16.73540115,0.6819544435
6.280739481,-0.8327022791,-16.85025787,0.3637090325
6.285494429,-1.574477315,-17.00100517,0.2632105052
6.290249377,-2.256431818,-16.99382591,0.3302095234
6.295004325,-2.98863554,-16.8909359,0.35174492
6.299759273,-3.617947817,-16.58226013,0.4067798555
6.304514221,-4.134797573,-16.14198112,0.4067798555
6.309269169,-4.486542225,-15.60120392,0.4067798555
6.314024117,-4.285545349,-14.98146248,-0.01914258115
6.318779064,-3.242274761,-14.20858097,-0.4594219327
6.323534012,-1.658226132,-13.41894913,-0.8494520187
6.32828896,-0.2273181528,-12.64367485,-1.148554921
6.333043908,0.8518448472,-11.84207916,-1.282552958
6.337798856,1.557727575,-11.02612686,-1.26341033
6.342553804,2.017149448,-10.28435135,-1.213161111
6.347308752,2.244467735,-9.628718376,-1.127019525
6.3520637,2.304288149,-9.061619759,-1.033699393
6.356818648,2.179861546,-8.602197647,-0.9643075466
6.361573596,1.971685886,-8.23370266,-0.8757730722
6.366328596,1.718046665,-7.96331358,-0.7130611539
