"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
-4.984824678E1,5.322984730E1,1.039999990E1,4.584456618E1,0.000000000E0,0.000000000E0,3.209899902E1,2.939431906E0
9.970695528E0,5.322935084E1,1.040027401E1,4.094966536E1,0.000000000E0,0.000000000E0,2.040093422E1,9.170761108E0
1.097088240E1,5.322934161E1,1.040027289E1,4.020905104E1,0.000000000E0,0.000000000E0,1.985039330E1,8.899176598E0
1.196905271E1,5.322970992E1,1.039988167E1,3.109388996E1,4.900000095E-1,3.111000061E2,1.773909378E1,9.258898735E0
1.996865757E1,5.322983894E1,1.039963916E1,1.726133763E1,7.400000095E-1,9.069999695E1,3.025748444E1,1.777003288E1
2.096948324E1,5.322987870E1,1.039974245E1,2.035383434E1,3.400000036E-1,2.689999962E1,3.029099083E1,1.925642776E1
2.197101771E1,5.322979271E1,1.040008319E1,3.722182208E1,8.700000048E-1,1.085999985E2,1.307805443E1,1.122378254E1
2.296927604E1,5.322977581E1,1.040009028E1,3.197643276E1,4.300000072E-1,3.213999939E2,1.153990269E1,9.696246147E0
2.396859781E1,5.322976142E1,1.040010352E1,3.260342085E1,2.000000030E-1,1.308000031E2,1.228428841E1,1.020844269E1
2.496797858E1,5.322974764E1,1.040011509E1,3.123932152E1,4.000000060E-1,1.134000015E2,1.378640461E1,1.099671745E1
2.597060014E1,5.322974204E1,1.040011958E1,2.962078130E1,5.099999905E-1,1.050999985E2,1.484685802E1,1.116015148E1
2.696941535E1,5.322974071E1,1.040012763E1,2.976530802E1,6.299999952E-1,7.769999695E1,1.611610031E1,1.123934650E1
2.796973576E1,5.322974153E1,1.040013447E1,2.968962354E1,5.299999714E-1,5.650000000E1,1.795383835E1,1.126378155E1
2.897003612E1,5.322974337E1,1.040013896E1,2.961961762E1,4.099999964E-1,4.629999924E1,2.004053879E1,1.130004692E1
2.996823247E1,5.322974695E1,1.040012872E1,3.009759258E1,6.399999857E-1,4.000000060E-1,2.222694969E1,1.137630844E1
3.096990460E1,5.322974935E1,1.040011621E1,3.003162114E1,5.000000000E-1,2.902000122E2,2.499351120E1,1.140925598E1
3.196778913E1,5.322974724E1,1.040008748E1,3.031574553E1,1.299999952E0,2.642000122E2,2.710108948E1,1.175711155E1
3.296805391E1,5.322974376E1,1.040005582E1,3.030390927E1,1.299999952E0,2.611000061E2,3.179241943E1,1.237930393E1
3.396829000E1,5.322961295E1,1.039976464E1,2.864785568E1,2.980000019E0,2.513999939E2,3.046201897E1,1.315953159E1
3.496941963E1,5.322959227E1,1.039979259E1,2.489238330E1,1.299999952E0,2.250000000E2,2.873301697E1,1.301270771E1
3.596867380E1,5.322959181E1,1.039983927E1,2.876553699E1,6.600000262E-1,2.288000031E2,2.641720772E1,1.241469288E1
3.696827962E1,5.322960418E1,1.039988107E1,2.925663170E1,0.000000000E0,0.000000000E0,2.182809067E1,1.103552818E1
3.796992134E1,5.322961734E1,1.039988928E1,2.990746709E1,8.500000238E-1,2.597999878E2,2.205774117E1,1.068672180E1
3.896788118E1,5.322962940E1,1.039989409E1,3.086353867E1,8.899999857E-1,2.936000061E2,2.286888123E1,1.043006992E1
3.996782206E1,5.322964950E1,1.039990839E1,3.104551067E1,1.320000052E0,3.142000122E2,2.420811081E1,1.048475456E1
5.396598663E1,5.322974191E1,1.040056198E1,3.816287955E1,0.000000000E0,0.000000000E0,2.369286537E1,1.841488075E1
5.496703329E1,5.322974789E1,1.040049755E1,3.183527203E1,5.600000024E-1,2.020000076E1,1.488906193E1,1.268349743E1
