"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.602403000E-3,-2.267797709E0,5.826523304E0,6.376872540E0
9.378653000E-3,-2.438884497E0,5.748756409E0,6.363113403E0
1.415490300E-2,-2.265404940E0,5.537590027E0,6.621538639E0
1.893115300E-2,-2.288136721E0,5.469992638E0,6.746563435E0
2.370745500E-2,-2.349153519E0,5.431109428E0,6.890730858E0
2.848370500E-2,-2.324627161E0,5.440680504E0,7.024729252E0
3.325995500E-2,-2.252842426E0,5.517848969E0,7.139584541E0
3.803620500E-2,-2.148156643E0,5.653043270E0,7.148557663E0
4.281245500E-2,-1.248455167E0,5.891129494E0,7.417750359E0
4.758870500E-2,-1.335793257E0,6.175277233E0,7.196413994E0
5.236495500E-2,-1.794616938E0,6.357131481E0,6.973283291E0
5.714120500E-2,-2.275574446E0,6.336792469E0,6.932605267E0
6.191745500E-2,-2.736192703E0,6.171687603E0,6.944569588E0
6.669370500E-2,-3.182454109E0,6.002395630E0,7.048058987E0
7.145667400E-2,-3.647259951E0,5.870790482E0,7.170093060E0
7.624620500E-2,-3.993022680E0,5.788238049E0,7.378268719E0
8.102245500E-2,-4.253242016E0,5.666802406E0,7.567301750E0
8.578542400E-2,-4.241278172E0,5.570491314E0,7.850253105E0
9.057500700E-2,-4.007379532E0,5.479563713E0,8.007580757E0
9.535125700E-2,-3.558725595E0,5.417948723E0,8.221140862E0
1.001275070E-1,-2.809772015E0,5.341976643E0,8.505288124E0
1.049037570E-1,-1.693520188E0,5.263013363E0,8.927022934E0
1.096800070E-1,5.084748194E-2,5.796612740E0,9.786046028E0
1.144429240E-1,7.387840152E-1,5.909673691E0,9.451051712E0
1.192325070E-1,1.292124271E0,5.872584820E0,9.007183075E0
1.240087570E-1,1.429113269E0,5.709274769E0,8.584251404E0
1.287716740E-1,1.415354609E0,5.188836098E0,8.392227173E0
1.335612570E-1,1.354935765E0,4.543372154E0,8.321041107E0
1.383375070E-1,-5.359922647E-1,4.045664787E0,1.085623646E1
1.431004760E-1,-3.768695593E0,3.949951887E0,1.433300781E1
1.478900070E-1,-2.386242390E0,3.530011654E0,1.230090332E1
1.526662570E-1,1.782652885E-1,3.591626883E0,7.618149281E0
1.574292260E-1,1.899901152E0,3.973282099E0,3.798007727E0
1.622187570E-1,2.480160713E0,4.351347923E0,2.335993052E0
1.669950070E-1,2.531606436E0,4.660022259E0,1.629512191E0
1.717579760E-1,2.200798512E0,4.832305431E0,1.343569875E0
1.765475590E-1,1.617548108E0,4.946562767E0,1.639083505E0
1.813238090E-1,9.792626500E-1,4.916054249E0,2.367099762E0
1.860867260E-1,3.649054468E-1,4.899902344E0,2.985046148E0
1.908763090E-1,-3.565305769E-1,4.829912663E0,4.015156269E0
1.956525590E-1,-1.107278705E0,4.702494621E0,5.670391560E0
2.004154760E-1,-1.867598057E0,4.579264164E0,7.301100254E0
2.052050590E-1,-2.136790514E0,4.481756687E0,8.473583221E0
2.099813090E-1,-1.837089539E0,4.337589264E0,9.086744308E0
2.147442780E-1,-1.111466169E0,4.078566074E0,9.351749420E0
2.195338090E-1,-2.662015259E-1,3.762713671E0,9.678967476E0
2.243100590E-1,4.067798555E-1,3.509074450E0,9.896116257E0
2.290730280E-1,7.489534616E-1,3.394218922E0,9.827322960E0
2.338625590E-1,1.082752228E0,3.356531858E0,9.926624298E0
2.386388090E-1,1.350150228E0,3.467798233E0,1.017428207E1
2.434017780E-1,1.311266780E0,3.583251953E0,1.014078236E1
2.481913610E-1,1.191027522E0,3.674777269E0,9.901499748E0
2.529676110E-1,1.012163997E0,3.703491211E0,9.494122505E0
2.577438610E-1,8.757730722E-1,3.741776466E0,8.982057571E0
2.625201110E-1,9.804590940E-1,3.805186272E0,8.242077827E0
2.672963610E-1,1.019940615E0,4.166502476E0,7.858029366E0
2.720726110E-1,1.116850019E0,4.514060020E0,7.549953461E0
2.768488610E-1,1.119840980E0,4.725824833E0,7.424928665E0
2.816251110E-1,9.918249846E-1,4.740181446E0,7.464410305E0
2.864013610E-1,8.781659007E-1,4.744967461E0,7.570292473E0
2.911776110E-1,7.369893789E-1,4.705485821E0,7.762914658E0
2.959538610E-1,5.808576941E-1,4.590032101E0,7.802396297E0
3.007301110E-1,3.589234054E-1,4.439882278E0,7.966304779E0
3.055063610E-1,3.786641955E-1,4.241876125E0,8.053044319E0
3.102826630E-1,6.981059909E-1,3.963112593E0,8.032107353E0
3.150589130E-1,1.265205026E0,3.695116282E0,8.024929047E0
3.198351630E-1,1.804786444E0,3.494119167E0,8.190033913E0
3.246114130E-1,1.926820397E0,3.498904943E0,8.712865829E0
3.293743300E-1,2.461018085E0,3.601198196E0,9.031110764E0
