Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
6.003582403,-0.3026920557,-9.785448074,0.4450650215
6.008358653,-0.3068794906,-9.780662537,0.4546363056
6.013134903,-0.3212364316,-9.780662537,0.4695914388
6.017911153,-0.3308077157,-9.790233612,0.4743770957
6.022687455,-0.3164508045,-9.790233612,0.4594219327
6.027463705,-0.3116651475,-9.785448074,0.4839483798
6.032239955,-0.3260220885,-9.79501915,0.4408775866
6.037016257,-0.3122633696,-9.790233612,0.4402793646
6.041792507,-0.3074777126,-9.799804688,0.4307080805
6.046568757,-0.3026920557,-9.790233612,0.4259224236
6.051345007,-0.3026920557,-9.785448074,0.4498506486
6.056121309,-0.3170489967,-9.79501915,0.4115654826
6.060897559,-0.3212364316,-9.804591179,0.4259224236
6.065673809,-0.3355933726,-9.804591179,0.4169493318
6.070450059,-0.3218346536,-9.809376717,0.4211367965
6.075226361,-0.3122633696,-9.814162254,0.4115654826
6.080002611,-0.3212364316,-9.818947792,0.4552344978
6.084778861,-0.3308077157,-9.818947792,0.4115654826
6.089555111,-0.3170489967,-9.82373333,0.3924229145
6.094331413,-0.3260220885,-9.829116821,0.4211367965
6.099107663,-0.3164508045,-9.833903313,0.4354937077
6.103883913,-0.2883351147,-9.853045464,0.4019941986
6.108660163,-0.3020938635,-9.848259926,0.4839483798
6.113436465,-0.2829512656,-9.83868885,0.4642075896
6.118212715,-0.2596212626,-9.838089943,0.3780659735
6.122988965,-0.2548356056,-9.833304405,0.4259224236
6.127765215,-0.2548356056,-9.838089943,0.4163511395
6.132541465,-0.2404786795,-9.847661972,0.4019941986
6.137317767,-0.2165504545,-9.838089943,0.4307080805
6.142094017,-0.1980060786,-9.828518867,0.4396811724
6.146870267,-0.1788634956,-9.828518867,0.4301098585
6.151646569,-0.1836491376,-9.833304405,0.4396811724
6.156422819,-0.1788634956,-9.838089943,0.4540380836
6.161199069,-0.1830509305,-9.814162254,0.4875376225
6.165975319,-0.1830509305,-9.799804688,0.4923232496
6.170751622,-0.1645065546,-9.784850121,0.4779663086
6.175527872,-0.1597209126,-9.770493507,0.4731806815
6.180304122,-0.1501496136,-9.765707016,0.4779663086
6.185080372,-0.1549352705,-9.760921478,0.5018945336
6.189856674,-0.1549352705,-9.765707016,0.5114658475
6.194632924,-0.1447657645,-9.775279045,0.5401797295
6.199409174,-0.1501496136,-9.770493507,0.5114658475
6.204185424,-0.1543370634,-9.765707016,0.5306084156
6.208961726,-0.1310070455,-9.760921478,0.5401797295
6.213737976,-0.1597209126,-9.751350403,0.5210371017
6.218514226,-0.1591227055,-9.770493507,0.5647061467
6.223290476,-0.1830509305,-9.765707016,0.5742774606
6.228066778,-0.1782652885,-9.775279045,0.5886343718
6.232843028,-0.2063809484,-9.785448074,0.5886343718
6.237619278,-0.2207378894,-9.79501915,0.5790630579
6.242395528,-0.2398804724,-9.799804688,0.5647061467
6.24717183,-0.2542374134,-9.799804688,0.5455635786
6.25194808,-0.2632105052,-9.799804688,0.5940182209
6.25672433,-0.2733799815,-9.79501915,0.5700899959
6.26150058,-0.2781656384,-9.785448074,0.5168496966
6.266276882,-0.2781656384,-9.780662537,0.5312066078
6.271053132,-0.2871387303,-9.790233612,0.5700899959
6.275829382,-0.2877369225,-9.771091461,0.5312066078
6.280605632,-0.2925225794,-9.780662537,0.5653043389
6.285381934,-0.3158525825,-9.775876999,0.5461617708
6.290158184,-0.3068794906,-9.790233612,0.5174478889
6.294934434,-0.2877369225,-9.79501915,0.536590457
6.299710684,-0.2775674164,-9.79501915,0.5796613097
6.304486986,-0.2733799815,-9.799804688,0.5653043389
6.309263236,-0.2733799815,-9.799804688,0.5748756528
6.314039486,-0.2590230405,-9.814162254,0.5647061467
6.318815736,-0.2303091735,-9.809376717,0.5455635786
6.323592038,-0.2398804724,-9.814162254,0.5551348329
6.328368288,-0.2303091735,-9.82373333,0.6029912829
6.333144538,-0.2392822653,-9.814162254,0.626919508
6.337920788,-0.2392822653,-9.804591179,0.6221339107
6.34269709,-0.2440679073,-9.804591179,0.6275177598
6.34747334,-0.2584248483,-9.799804688,0.6083751321
6.35224959,-0.2727817893,-9.790233612,0.5940182209
6.35702584,-0.2775674164,-9.771091461,0.6514459848
6.361802142,-0.2775674164,-9.756733894,0.6711867452
6.366578392,-0.2679961324,-9.747162819,0.6711867452
6.371354642,-0.2679961324,-9.742377281,0.6664010882
6.376130944,-0.2775674164,-9.747162819,0.656829834
6.380907194,-0.2871387303,-9.742377281,0.6616154313
6.385683444,-0.2823530734,-9.742377281,0.685543716
6.390459694,-0.2865405083,-9.737591743,0.6999006271
6.395235997,-0.2865405083,-9.742377281,0.7046862841
6.400012247,-0.2679961324,-9.73699379,0.685543716
6.404788497,-0.2536391914,-9.747162819,0.6759724021
6.409564747,-0.2632105052,-9.747162819,0.680758059
6.414341049,-0.2584248483,-9.761520386,0.6951149702
6.419117299,-0.2865405083,-9.771091461,0.7429714203
6.423893549,-0.2961117923,-9.756733894,0.7142575383
6.428669799,-0.3104687333,-9.756733894,0.7142575383
6.433446101,-0.3248256743,-9.737591743,0.7142575383
6.438222351,-0.3296113312,-9.718449593,0.709471941
6.442998601,-0.3391826153,-9.718449593,0.7004988194
6.447774851,-0.3391826153,-9.728020668,0.7387840152
6.452551153,-0.3439682424,-9.72323513,0.6909275651
6.457327403,-0.3631108403,-9.732806206,0.6622136831
6.462103653,-0.3439682424,-9.742377281,0.6711867452
6.466879903,-0.3391826153,-9.747162819,0.641874671
6.471656205,-0.3062812984,-9.756733894,0.6466603279
6.476432455,-0.2632105052,-9.761520386,0.613160789
6.481208705,-0.2350948304,-9.775876999,0.5982056856
6.485984955,-0.1968096644,-9.775876999,0.5838487148
6.490761257,-0.1968096644,-9.804591179,0.5886343718
6.495537507,-0.1633101404,-9.818947792,0.6029912829
6.500313757,-0.1633101404,-9.838089943,0.5934200287
6.505090059,-0.1250249892,-9.881160736,0.626919508
6.509866309,-0.1052841991,-9.881160736,0.7280163169
6.514642559,-0.1148554832,-9.905687332,0.747158885
6.519418809,-0.08135596663,-9.895518303,0.7854440212
6.524195111,-0.08075776696,-9.896116257,0.8476574421
6.528971361,-0.07118647546,-9.885947227,0.8763712645
6.533747611,-0.05623133108,-9.885947227,0.9768698215
6.538523861,-0.08973085135,-9.876974106,0.9481559992
6.543300163,-0.08015955985,-9.871589661,0.9768698215
6.548076413,-0.08913264424,-9.862018585,1.030110121
6.552852663,-0.1088734269,-9.862018585,1.006181955
6.557628913,-0.09930214286,-9.85244751,1.010967612
6.562405215,-0.008374879137,-9.82373333,1.048654556
6.567181465,-0.109471634,-9.85244751,0.9002995491
6.571957715,-0.1992024779,-9.872187614,0.9296116233
6.576733965,-0.1471585929,-9.896116257,0.9343972206
6.581510267,-0.06580262631,-9.886545181,0.9433703423
6.586286517,-0.0185443759,-9.862018585,0.9577272534
6.591062767,0.01914258115,-9.862018585,0.8997012973
6.595839017,0.09032905847,-9.842277527,0.890130043
6.600615319,0.1992024779,-9.813564301,0.7836494446
6.605391569,0.2033899277,-9.707083702,0.7501499057
6.610167819,-0.04905286431,-9.6693964,0.7417750359
6.614944122,0.2171486616,-9.938589096,0.6059823632
6.619720372,0.2943171859,-9.996016502,0.5862415433
6.624496622,0.2470589429,-9.948160172,0.6735795736
6.629272872,0.1938186288,-9.88534832,0.6299105883
6.634049174,0.1836491376,-9.870991707,0.6203392744
6.638825424,0.1698904037,-9.875777245,0.6251249313
6.643601674,0.09810572863,-9.866206169,0.6209374666
6.648377924,0.02691925503,-9.862018585,0.5970092416
6.653154226,0.02632104978,-9.823135376,0.5826523304
6.657930476,-0.04965107143,-9.799206734,0.5976074338
