"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.297484900E-2,3.207040019E-3,-2.272416949E-1,-2.189186662E-1
1.782484900E-2,-3.222311661E-2,-1.789833754E-1,-2.176969349E-1
2.267484900E-2,-6.704241037E-2,-1.301141977E-1,-2.158643454E-1
2.752484900E-2,-1.018617004E-1,-8.185587823E-2,-2.140317410E-1
3.237479600E-2,-1.354592592E-1,-3.543015569E-2,-2.152534723E-1
3.722479600E-2,-1.660024971E-1,3.665188793E-3,-2.189186662E-1
4.207479600E-2,-1.886045039E-1,3.543015569E-2,-2.244164497E-1
4.692479600E-2,-2.038761228E-1,5.558869615E-2,-2.280816436E-1
5.177479600E-2,-2.063195854E-1,6.536252797E-2,-2.341902852E-1
5.662479600E-2,-1.953240186E-1,6.352993846E-2,-2.402989268E-1
6.147479600E-2,-1.739437431E-1,5.619955808E-2,-2.439641207E-1
6.632479600E-2,-1.470656991E-1,4.153880477E-2,-2.464075834E-1
7.117479600E-2,-1.043051630E-1,3.909534588E-2,-2.494619042E-1
7.602479600E-2,-5.115992576E-2,3.543015569E-2,-2.586248815E-1
8.087479600E-2,-7.177661173E-3,6.719512399E-3,-2.714530230E-1
8.572474400E-2,2.519817278E-2,-4.581485689E-2,-2.824485898E-1
9.057474400E-2,4.657844082E-2,-1.050687432E-1,-2.867246568E-1
9.542474400E-2,5.818486959E-2,-1.582139730E-1,-2.861137986E-1
1.002747440E-1,6.001746282E-2,-2.034179717E-1,-2.861137986E-1
1.051247440E-1,5.574141070E-2,-2.419024557E-1,-2.879463732E-1
1.099747440E-1,4.841103405E-2,-2.687804997E-1,-2.873355150E-1
1.148247440E-1,3.924806044E-2,-2.858847082E-1,-2.830594778E-1
1.196747440E-1,3.191768378E-2,-2.889390290E-1,-2.787834108E-1
1.245247440E-1,2.703076601E-2,-2.785543501E-1,-2.732856274E-1
1.293747440E-1,2.641990222E-2,-2.553414702E-1,-2.647335231E-1
1.342246920E-1,3.069595434E-2,-2.272416949E-1,-2.555705607E-1
1.390746920E-1,3.497200832E-2,-2.058614343E-1,-2.500727773E-1
1.439246920E-1,4.046979174E-2,-1.850920320E-1,-2.439641207E-1
1.487746920E-1,4.841103405E-2,-1.411097646E-1,-2.470184416E-1
1.536246920E-1,5.451968312E-2,-7.269290835E-2,-2.690095901E-1
1.584746920E-1,5.879573524E-2,-4.886918236E-3,-2.891681194E-1
1.633246920E-1,5.818486959E-2,4.886918142E-2,-2.995528281E-1
1.681746920E-1,5.574141070E-2,7.941242307E-2,-2.989419401E-1
1.730246920E-1,5.329795182E-2,9.896009415E-2,-2.891681194E-1
1.778746920E-1,5.513054505E-2,1.166751757E-1,-2.763399482E-1
1.827246400E-1,6.123919412E-2,1.343902498E-1,-2.641226649E-1
1.875746400E-1,7.040216774E-2,1.502727419E-1,-2.592357397E-1
1.924246400E-1,7.528908551E-2,1.502727419E-1,-2.598465979E-1
1.972746400E-1,7.773254067E-2,1.301141977E-1,-2.622900605E-1
2.021246400E-1,7.712167501E-2,1.032361463E-1,-2.653443813E-1
2.069746400E-1,8.384118974E-2,9.529490769E-2,-2.629009187E-1
2.118246400E-1,1.003345400E-1,9.529490769E-2,-2.561814189E-1
2.166746400E-1,1.235474050E-1,9.834922850E-2,-2.427423894E-1
2.215246400E-1,1.498145908E-1,9.162971377E-2,-2.256381810E-1
2.263746400E-1,1.785252392E-1,8.185587823E-2,-2.054796368E-1
2.312245880E-1,2.102901936E-1,7.880155742E-2,-1.902080178E-1
2.360745880E-1,2.396117151E-1,7.330377400E-2,-1.663842946E-1
2.409245880E-1,2.646571696E-1,5.436696485E-2,-1.224020272E-1
2.457745880E-1,2.860374451E-1,5.192350596E-2,-9.491311759E-2
2.505314630E-1,3.068068326E-1,6.658425927E-2,-8.452841640E-2
2.552864110E-1,3.294088244E-1,6.414080411E-2,-8.452841640E-2
2.600413590E-1,3.538434207E-1,2.443459071E-2,-8.330668509E-2
2.647963070E-1,3.776671588E-1,-3.665188700E-2,-8.391755074E-2
2.695512550E-1,4.021017551E-1,-1.117882580E-1,-8.819360286E-2
2.743062030E-1,4.259254634E-1,-1.924224049E-1,-1.022434905E-1
2.790611510E-1,4.466948807E-1,-2.645044625E-1,-1.242346242E-1
2.838160460E-1,4.601338804E-1,-3.286452591E-1,-1.511126757E-1
2.885709940E-1,4.717403352E-1,-3.817904890E-1,-1.834885031E-1
2.933259420E-1,4.906771481E-1,-4.056142271E-1,-2.189186662E-1
2.980808900E-1,5.028944016E-1,-4.337140024E-1,-2.531270981E-1
3.028358380E-1,5.053378940E-1,-4.434878230E-1,-2.836703360E-1
3.075907860E-1,5.022835732E-1,-4.294379354E-1,-3.081049323E-1
3.123457340E-1,4.925097227E-1,-3.995055556E-1,-3.258199990E-1
3.171006820E-1,4.802924395E-1,-3.555232882E-1,-3.380373120E-1
3.218556300E-1,4.625773430E-1,-3.042106628E-1,-3.465894163E-1
3.266105260E-1,4.399753511E-1,-2.431241870E-1,-3.545306325E-1
3.313654740E-1,4.112647176E-1,-1.704312712E-1,-3.618610203E-1
3.361204210E-1,3.770562708E-1,-9.407317638E-2,-3.691914082E-1
3.408753690E-1,3.391826749E-1,-2.871064469E-2,-3.722457290E-1
