"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.117833800E-2,5.587500095E0,-2.632500076E1,-3.590625000E1
5.117833800E-2,5.737500191E0,-2.587500191E1,-3.489375305E1
6.117833800E-2,6.093750477E0,-2.602500153E1,-3.511875153E1
7.117833800E-2,6.187500477E0,-2.606250191E1,-3.500625229E1
8.117833800E-2,6.468750477E0,-2.576250076E1,-3.511875153E1
9.117833800E-2,6.581250191E0,-2.585625076E1,-3.493125153E1
1.011783380E-1,6.712500095E0,-2.595000076E1,-3.481875229E1
1.111783380E-1,6.656250477E0,-2.593125153E1,-3.480000305E1
1.211783380E-1,6.712500095E0,-2.580000114E1,-3.455625153E1
1.311783380E-1,6.731250286E0,-2.578125191E1,-3.457500076E1
1.411783380E-1,6.750000477E0,-2.570625114E1,-3.455625153E1
1.511783380E-1,6.918750286E0,-2.572500038E1,-3.448125076E1
1.611783380E-1,6.881250381E0,-2.583750153E1,-3.440625000E1
1.711783380E-1,7.012500286E0,-2.570625114E1,-3.468750000E1
1.811783380E-1,6.731250286E0,-2.561250114E1,-3.465000153E1
1.911783380E-1,6.731250286E0,-2.576250076E1,-3.455625153E1
2.011783380E-1,6.900000095E0,-2.600625038E1,-3.455625153E1
2.111783380E-1,7.012500286E0,-2.606250191E1,-3.440625000E1
2.211783380E-1,6.900000095E0,-2.617500114E1,-3.433125305E1
2.311783380E-1,6.900000095E0,-2.611875153E1,-3.423750305E1
2.411783380E-1,6.787500381E0,-2.610000038E1,-3.427500153E1
2.511783380E-1,6.656250477E0,-2.613750076E1,-3.393750000E1
2.611783380E-1,6.975000381E0,-2.626875114E1,-3.397500229E1
2.711783380E-1,6.975000381E0,-2.600625038E1,-3.406875229E1
2.811783380E-1,7.031250477E0,-2.570625114E1,-3.412500000E1
2.911783380E-1,7.012500286E0,-2.572500038E1,-3.414375305E1
3.011783380E-1,7.237500191E0,-2.555625153E1,-3.401250076E1
3.111783380E-1,7.218750477E0,-2.568750191E1,-3.399375153E1
3.211783380E-1,7.256250381E0,-2.598750114E1,-3.367500305E1
3.311783380E-1,7.256250381E0,-2.645625114E1,-3.369375229E1
3.411783380E-1,7.162500381E0,-2.640000153E1,-3.356250000E1
3.511783380E-1,7.556250095E0,-2.698125076E1,-3.337500000E1
3.611783380E-1,7.537500381E0,-2.720625114E1,-3.330000305E1
3.711783380E-1,7.668750286E0,-2.758125114E1,-3.309375000E1
3.811783380E-1,7.556250095E0,-2.782500076E1,-3.298125076E1
3.911783380E-1,7.331250191E0,-2.797500038E1,-3.277500153E1
4.011783380E-1,7.312500477E0,-2.780625153E1,-3.271875000E1
4.111783380E-1,7.518750191E0,-2.745000076E1,-3.236250305E1
4.211783380E-1,7.631250381E0,-2.756250191E1,-3.238125229E1
4.311783380E-1,7.612500191E0,-2.728125191E1,-3.223125076E1
4.411783380E-1,7.612500191E0,-2.771250153E1,-3.202500153E1
4.511783380E-1,7.481250286E0,-2.754375076E1,-3.221250153E1
4.611783380E-1,7.406250477E0,-2.776875114E1,-3.221250153E1
4.711783380E-1,7.706250191E0,-2.810625076E1,-3.211875153E1
4.811783380E-1,7.762500286E0,-2.840625191E1,-3.200625229E1
4.911783380E-1,7.612500191E0,-2.855625153E1,-3.206250000E1
5.011783380E-1,7.518750191E0,-2.880000114E1,-3.183750153E1
5.111783380E-1,7.368750095E0,-2.896875191E1,-3.181875038E1
5.211783380E-1,7.331250191E0,-2.855625153E1,-3.161250114E1
5.311783380E-1,7.593750477E0,-2.863125038E1,-3.155625153E1
5.411783380E-1,7.818750381E0,-2.857500076E1,-3.157500076E1
5.511783380E-1,7.743750095E0,-2.823750114E1,-3.168750191E1
5.611783380E-1,7.837500095E0,-2.803125191E1,-3.170625114E1
5.711783380E-1,7.893750191E0,-2.810625076E1,-3.155625153E1
5.811783380E-1,7.968750477E0,-2.805000114E1,-3.148125076E1
5.911783380E-1,8.043750763E0,-2.808750153E1,-3.101250076E1
