"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.782674600E-2,-2.815581083E0,8.023268700E0,4.070142746E0
2.281474600E-2,-2.430114746E0,7.968202591E0,4.091690540E0
2.781874600E-2,-2.044648170E0,7.910741806E0,4.182670593E0
3.282474600E-2,-1.690306425E0,7.884405613E0,4.343081951E0
3.782874600E-2,-1.379060149E0,7.865252018E0,4.594472885E0
4.283174600E-2,-1.120486379E0,7.836521626E0,4.865017891E0
4.783414600E-2,-8.978256583E-1,7.769483566E0,5.166986465E0
5.283414600E-2,-6.991068721E-1,7.673715591E0,5.432743073E0
5.783586000E-2,-5.530605912E-1,7.549217224E0,5.641038418E0
6.283736000E-2,-4.955997467E-1,7.403171062E0,5.765536785E0
6.783869300E-2,-5.147533417E-1,7.223605633E0,5.808632374E0
7.283989300E-2,-5.865794420E-1,7.020098686E0,5.803843975E0
7.784098300E-2,-6.703764796E-1,6.797437668E0,5.801449776E0
8.284198300E-2,-7.757213712E-1,6.593930721E0,5.813420773E0
8.784290600E-2,-9.504981041E-1,6.447884560E0,5.858911037E0
9.284376300E-2,-1.206677675E0,6.359299183E0,5.954679012E0
9.784456300E-2,-1.482010841E0,6.328174591E0,6.127061367E0
1.028453130E-1,-1.735796213E0,6.318597794E0,6.337751389E0
1.078460180E-1,-1.922544003E0,6.304232121E0,6.529287338E0
1.128466840E-1,-2.015917778E0,6.270713329E0,6.641814709E0
1.178473150E-1,-2.030282974E0,6.230011940E0,6.629843712E0
1.228479150E-1,-1.980004787E0,6.186916351E0,6.483797550E0
1.278484860E-1,-1.867477298E0,6.117484570E0,6.249165535E0
1.328490310E-1,-1.695094824E0,6.012139797E0,6.000168800E0
1.378495520E-1,-1.496376038E0,5.856516838E0,5.822998047E0
1.428500520E-1,-1.338358760E0,5.633855820E0,5.770325184E0
1.478505320E-1,-1.240196466E0,5.298667431E0,5.866093636E0
1.528509930E-1,-1.228225470E0,4.860229492E0,6.122272968E0
1.578514370E-1,-1.352723956E0,4.398148537E0,6.522104740E0
1.628518650E-1,-1.608903527E0,4.041412354E0,7.032069683E0
1.678522780E-1,-1.994369984E0,3.804386616E0,7.606678009E0
1.728526780E-1,-2.365471363E0,3.433285236E0,7.949048996E0
1.778529440E-1,-2.762908697E0,2.846705914E0,7.666532993E0
1.828529440E-1,-3.593696833E0,2.434903145E0,7.472602844E0
1.878529440E-1,-4.362235546E0,2.025494576E0,7.170933247E0
1.928529440E-1,-5.008969307E0,1.577778935E0,6.596324921E0
1.978529440E-1,-5.602731228E0,1.302445769E0,6.060023785E0
2.028533440E-1,-5.890035629E0,1.086967587E0,5.511751652E0
2.078533440E-1,-5.710470200E0,9.265560508E-1,4.951508522E0
2.128533440E-1,-5.090372086E0,8.667010069E-1,4.472368717E0
2.178533440E-1,-4.089296341E0,8.379706144E-1,4.177882195E0
2.228533440E-1,-2.889801502E0,7.757213712E-1,4.050989151E0
2.278533440E-1,-1.721431017E0,7.015010715E-1,4.101267338E0
2.328533440E-1,-7.589619160E-1,6.105214357E-1,4.297592163E0
2.378533100E-1,-1.268926859E-1,4.764461517E-1,4.537012100E0
2.428533100E-1,2.011129409E-1,2.801215947E-1,4.865017891E0
2.478533100E-1,2.633621991E-1,-4.070143029E-2,5.272331238E0
2.528533100E-1,1.556231081E-1,-4.836287498E-1,5.760748386E0
2.578533100E-1,-5.506663769E-2,-9.624691010E-1,6.232406139E0
2.628533100E-1,-3.016694188E-1,-1.400607944E0,6.596324921E0
2.678533100E-1,-5.339069963E-1,-1.766920805E0,6.850110531E0
2.728533100E-1,-6.655880809E-1,-2.104503393E0,7.072771072E0
2.778533100E-1,-6.081272364E-1,-2.432508945E0,7.388805866E0
2.828533100E-1,-4.501099288E-1,-2.715024710E0,7.714416981E0
2.878533100E-1,-1.197100878E-1,-2.913743496E0,8.092700958E0
2.928533100E-1,2.992752194E-1,-2.992752075E0,8.516474724E0
2.978533100E-1,7.589619160E-1,-2.956839085E0,8.942642212E0
3.028533100E-1,1.213860273E0,-2.849100113E0,9.275436401E0
3.078533100E-1,1.613691926E0,-2.683900118E0,9.471760750E0
3.128533100E-1,1.982398987E0,-2.489969730E0,9.589076996E0
3.178533100E-1,2.248155355E0,-2.296039343E0,9.629778862E0
3.228533100E-1,2.339135170E0,-2.149993181E0,9.536404610E0
3.278533100E-1,2.214636564E0,-2.080561161E0,9.325715065E0
3.328533100E-1,1.788468719E0,-2.118868589E0,9.050381660E0
3.378533100E-1,1.156399369E0,-2.329558372E0,8.731952667E0
3.428533100E-1,3.615244627E-1,-2.638410330E0,8.365639687E0
3.478533100E-1,-5.410895944E-1,-2.987963676E0,7.915530205E0
3.528533100E-1,-1.498770237E0,-3.330334663E0,7.367258072E0
3.578533100E-1,-2.487575531E0,-3.675099611E0,6.751947880E0
3.628533100E-1,-3.478775024E0,-4.034229755E0,6.122272968E0
3.678533100E-1,-4.434061527E0,-4.410119534E0,5.523722649E0
3.728533100E-1,-5.305850029E0,-4.788403511E0,4.982633114E0
3.778533100E-1,-6.083965778E0,-5.114314079E0,4.534617901E0
3.828533100E-1,-6.759130478E0,-5.375282288E0,4.209006786E0
3.878533430E-1,-7.345710278E0,-5.578789234E0,4.034229755E0
3.928533430E-1,-7.872434616E0,-5.734412193E0,4.010287762E0
3.978533430E-1,-8.339303970E0,-5.834969044E0,4.153939724E0
4.028533430E-1,-8.775048256E0,-5.897218227E0,4.453215122E0
4.078533430E-1,-9.167697906E0,-5.921160221E0,4.862623692E0
4.128533430E-1,-9.500492096E0,-5.890035629E0,5.344157696E0
4.178533430E-1,-9.792584419E0,-5.837363243E0,5.885247231E0
4.228533430E-1,-1.003679276E1,-5.794267178E0,6.495768547E0
4.278533430E-1,-1.022354031E1,-5.765536785E0,7.163750648E0
4.328533430E-1,-1.037916374E1,-5.739200592E0,7.896376610E0
4.378533430E-1,-1.052760410E1,-5.700893402E0,8.588300705E0
4.428533430E-1,-1.068801594E1,-5.650615215E0,9.213187218E0
4.478533430E-1,-1.088434029E1,-5.590760231E0,9.763854027E0
4.528533430E-1,-1.115488529E1,-5.530905247E0,1.024030018E1
4.578533430E-1,-1.156189919E1,-5.456685066E0,1.063534355E1
4.628533430E-1,-1.201440334E1,-5.317821026E0,1.093222427E1
4.678533430E-1,-1.254112816E1,-5.061641693E0,1.113094330E1
4.728533430E-1,-1.307503510E1,-4.668693542E0,1.125304699E1
4.778533430E-1,-1.355387497E1,-4.156333923E0,1.133205605E1
4.828533430E-1,-1.390103436E1,-3.632004023E0,1.140867043E1
4.878533430E-1,-1.411411858E1,-3.141192675E0,1.149007320E1
4.928533430E-1,-1.421467495E1,-2.712630510E0,1.157865906E1
4.978533430E-1,-1.422425175E1,-2.351106167E0,1.166245556E1
5.028533430E-1,-1.414045429E1,-2.051830769E0,1.173906994E1
5.078533430E-1,-1.398004341E1,-1.814804912E0,1.181568432E1
5.128533430E-1,-1.377892971E1,-1.625662923E0,1.187793350E1
5.178533430E-1,-1.355866337E1,-1.493981838E0,1.190187550E1
5.228533430E-1,-1.335755062E1,-1.383848548E0,1.188032818E1
5.278533430E-1,-1.316840839E1,-1.285686255E0,1.175104141E1
5.328533430E-1,-1.297687244E1,-1.182735682E0,1.151880360E1
5.378533430E-1,-1.276139450E1,-1.084573388E0,1.118840408E1
5.428533430E-1,-1.249563789E1,-9.983820915E-1,1.076463032E1
5.478524430E-1,-1.219636250E1,-9.289502501E-1,1.024987698E1
5.528515430E-1,-1.187553978E1,-8.810662031E-1,9.651326180E0
5.578510430E-1,-1.151640987E1,-8.738836050E-1,9.009679794E0
5.628505430E-1,-1.110939503E1,-9.074024558E-1,8.394370079E0
5.678500430E-1,-1.067125607E1,-9.696516991E-1,7.781454563E0
5.728495430E-1,-1.025705910E1,-1.074996591E0,7.209240437E0
5.778494090E-1,-9.864410400E0,-1.259350061E0,6.677727699E0
5.828489420E-1,-9.481337547E0,-1.486799240E0,6.191704750E0
5.878484750E-1,-9.083900452E0,-1.716642618E0,5.729623795E0
5.928480080E-1,-8.660126686E0,-1.917755604E0,5.284302235E0
5.978475080E-1,-8.198045731E0,-2.104503393E0,4.944325924E0
6.028470080E-1,-7.728782177E0,-2.525882721E0,5.626673222E0
6.078470080E-1,-7.288249016E0,-3.191470861E0,7.252336025E0
6.128470080E-1,-6.912359715E0,-3.792415380E0,9.191639900E0
6.178470080E-1,-6.617872715E0,-3.885789394E0,1.059943008E1
6.228470080E-1,-6.273107529E0,-3.713406801E0,1.111178970E1
6.278470410E-1,-5.794267178E0,-3.193865061E0,1.103517532E1
6.328470740E-1,-5.214870453E0,-2.640804529E0,1.070956326E1
6.378471070E-1,-4.596867085E0,-2.535459518E0,1.010622501E1
6.428471070E-1,-3.892971992E0,-3.112462282E0,8.739135742E0
6.478471070E-1,-3.497928619E0,-4.690241337E0,7.240365028E0
6.528471070E-1,-3.933673382E0,-7.314585686E0,6.574777126E0
6.578471400E-1,-4.503493309E0,-8.633790970E0,5.684134007E0
6.628471730E-1,-4.901230335E0,-9.253889084E0,4.797980309E0
6.678472060E-1,-4.788403511E0,-9.359233856E0,4.505887508E0
6.728472060E-1,-5.308244228E0,-9.490914345E0,2.554613113E0
6.778472060E-1,-6.553229332E0,-8.193257332E0,-1.017535686E0
6.828472060E-1,-8.636184692E0,-5.676951408E0,-5.260360241E0
6.878472060E-1,-1.070956326E1,-4.486733913E0,-7.400776863E0
6.928472060E-1,-1.203355694E1,-4.596867085E0,-7.843704224E0
6.978481060E-1,-1.230889034E1,-5.497386456E0,-6.747159481E0
7.028490060E-1,-1.203834534E1,-6.725611687E0,-5.095160484E0
7.078495390E-1,-1.159781265E1,-7.755118370E0,-2.856282711E0
7.128500720E-1,-1.098250294E1,-8.415918350E0,-5.602431893E-1
7.178506050E-1,-1.057788277E1,-8.650549889E0,2.233790159E0
7.228511050E-1,-1.067843914E1,-8.667309761E0,5.061641693E0
7.278512380E-1,-1.089391708E1,-8.509291649E0,6.591536522E0
7.328517040E-1,-1.081011963E1,-8.193257332E0,6.766313076E0
7.378522040E-1,-1.047972012E1,-7.870040417E0,6.107907772E0
7.428527040E-1,-1.014213753E1,-7.496544838E0,5.013757706E0
7.478532370E-1,-9.988908768E0,-7.008127689E0,3.857059002E0
7.528537370E-1,-9.852438927E0,-6.682516098E0,2.968810081E0
7.578537370E-1,-9.572318077E0,-6.591536522E0,2.403778553E0
7.628537370E-1,-9.198822021E0,-6.632237911E0,2.018311977E0
7.678537370E-1,-8.540416718E0,-6.969820499E0,9.672574997E-1
7.728537370E-1,-7.348104477E0,-7.700051785E0,-1.659181833E0
7.778538700E-1,-5.992986202E0,-8.925883293E0,-5.006575108E0
7.828538700E-1,-5.248389244E0,-9.500492096E0,-5.825392246E0
7.878538700E-1,-5.059247494E0,-9.294589996E0,-5.188534260E0
7.928539030E-1,-5.087977886E0,-8.937853813E0,-4.082113743E0
7.978539030E-1,-5.107131481E0,-8.743924141E0,-2.968810081E0
8.028539030E-1,-4.901230335E0,-9.009679794E0,-2.030282974E0
8.078538690E-1,-4.465186119E0,-9.624990463E0,-1.379060149E0
8.128531690E-1,-3.998316765E0,-1.034085655E1,-1.051054597E0
8.178531690E-1,-3.804386616E0,-1.093222427E1,-9.840168953E-1
8.228532020E-1,-4.077325344E0,-1.121473980E1,-1.000776291E0
8.278532350E-1,-4.752490520E0,-1.109742451E1,-1.046266198E0
8.328532350E-1,-5.471050262E0,-1.069040966E1,-1.177947283E0
8.378532350E-1,-6.016928196E0,-1.024030018E1,-1.345541358E0
8.428532350E-1,-6.275501728E0,-9.871592522E0,-1.458068848E0
8.478525680E-1,-6.273107529E0,-9.660902977E0,-1.458068848E0
8.528519010E-1,-6.139032364E0,-9.610625267E0,-1.403002143E0
8.578518670E-1,-5.949890614E0,-9.584288597E0,-1.333570361E0
8.628518670E-1,-5.813420773E0,-9.478943825E0,-1.259350061E0
8.678512000E-1,-5.777507782E0,-9.316138268E0,-1.170764685E0
8.728505660E-1,-5.822998047E0,-9.150938034E0,-1.082179189E0
8.778498990E-1,-5.856516838E0,-9.033622742E0,-9.816226959E-1
8.828498990E-1,-5.799055576E0,-8.966584206E0,-8.475474119E-1
8.878491990E-1,-5.655403614E0,-8.942642212E0,-7.062895298E-1
8.928482650E-1,-5.454290867E0,-8.930671692E0,-5.985504389E-1
8.978475650E-1,-5.212476254E0,-8.901941299E0,-5.339069963E-1
9.028468980E-1,-4.944325924E0,-8.870816231E0,-5.410895944E-1
9.078460310E-1,-4.666299343E0,-8.791808128E0,-6.105214357E-1
9.128453970E-1,-4.477157116E0,-8.542811394E0,-7.589619160E-1
9.178452970E-1,-4.405331135E0,-8.102277756E0,-8.690952063E-1
9.228446300E-1,-4.412513733E0,-7.546823025E0,-7.852981687E-1
9.278444630E-1,-4.450820923E0,-6.988974094E0,-5.051765442E-1
9.328444290E-1,-4.474762917E0,-6.538864136E0,-1.053448766E-1
9.378444290E-1,-4.419696331E0,-6.239588737E0,3.184288144E-1
9.428444290E-1,-4.347870350E0,-6.043264389E0,6.416460276E-1
9.478444620E-1,-4.276044369E0,-5.935525417E0,8.140285611E-1
9.528444950E-1,-4.244919777E0,-5.935525417E0,8.068459630E-1
9.578444950E-1,-4.302380562E0,-6.012139797E0,6.751648784E-1
9.628451610E-1,-4.395754337E0,-6.148609161E0,4.596867263E-1
9.678451270E-1,-4.448426723E0,-6.380846977E0,9.576806426E-2
