"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.979625016E-3,-3.757935333E0,5.281167755E0,7.984396362E0
1.290562502E-2,-3.303330688E0,5.183570709E0,8.121511230E0
2.283062501E-2,-3.043620758E0,4.674030304E0,7.961194611E0
3.275662501E-2,-3.078049164E0,4.584217072E0,7.939789124E0
4.268162500E-2,-3.268902283E0,4.808001709E0,8.016579437E0
5.260762500E-2,-3.392395477E0,4.739593964E0,8.149503021E0
6.253262502E-2,-3.412603455E0,4.539011078E0,8.343200226E0
7.245862501E-2,-3.446882172E0,4.273912354E0,8.532406769E0
8.238462501E-2,-3.273243256E0,4.234244843E0,8.630003815E0
9.230962500E-2,-2.915038147E0,4.202810211E0,8.719517670E0
1.022356250E-1,-2.564317474E0,3.909270630E0,8.662935333E0
1.121606250E-1,-2.239043884E0,3.828887787E0,8.818162537E0
1.220866250E-1,-1.850451965E0,3.964805145E0,8.505762177E0
1.320116250E-1,-1.520987091E0,3.780089264E0,8.540489960E0
1.419376250E-1,-1.290915527E0,3.584446106E0,9.242829437E0
1.518626250E-1,-1.447789307E0,3.403472443E0,9.511221313E0
1.617886250E-1,-1.621727600E0,3.308719482E0,9.526489563E0
1.717146250E-1,-1.706002350E0,3.077151031E0,9.413175201E0
1.816396250E-1,-1.740430756E0,2.738555145E0,9.294771423E0
1.915656250E-1,-1.519041138E0,2.630330200E0,9.536967773E0
2.014906250E-1,-1.200952606E0,2.687810669E0,9.625433807E0
2.114166250E-1,-9.684860229E-1,2.707419891E0,9.492809601E0
2.213416250E-1,-9.719288635E-1,2.437531128E0,8.512198792E0
2.312676250E-1,-8.246351624E-1,2.248474274E0,9.383237457E0
2.411936250E-1,-1.136736145E0,2.313139801E0,9.927954712E0
2.511186250E-1,-1.310973816E0,2.309247894E0,9.415121155E0
2.610446250E-1,-1.338666229E0,2.113305359E0,9.402098236E0
2.709696250E-1,-1.312021637E0,2.017654266E0,9.464668121E0
2.808956250E-1,-1.457668762E0,2.012265472E0,9.396260376E0
2.908206250E-1,-1.472338257E0,2.072590027E0,9.507928162E0
3.007466250E-1,-1.611698456E0,2.148332520E0,9.905651093E0
3.106716250E-1,-2.142644348E0,2.142644348E0,1.037028488E1
3.205976250E-1,-2.389780426E0,2.065105591E0,1.050350784E1
3.305236250E-1,-2.345322876E0,1.842817841E0,1.040890457E1
3.404486250E-1,-2.160457306E0,1.622625732E0,1.010264145E1
3.503746250E-1,-2.110461273E0,1.558558960E0,9.559570770E0
3.602996250E-1,-2.395618286E0,1.789229279E0,9.182205505E0
3.702256250E-1,-2.330204315E0,2.315834198E0,9.180708618E0
3.801506250E-1,-1.982627106E0,2.745889893E0,9.619745636E0
3.900766250E-1,-1.297352142E0,2.905757446E0,1.032253418E1
4.000026250E-1,1.496887207E-2,3.014132080E0,1.112471603E1
4.099276250E-1,6.216572571E-1,3.948189697E0,1.181882263E1
4.198536250E-1,4.867877197E-1,3.342698822E0,1.185280197E1
4.297786250E-1,7.158114624E-1,2.543361053E0,1.146929947E1
4.397046250E-1,1.017434235E0,1.900897064E0,1.081066910E1
4.496296250E-1,1.273851013E0,1.385967865E0,1.012748978E1
4.595556250E-1,1.332229614E0,2.930905151E-1,9.726473694E0
4.694806250E-1,9.650431824E-1,-1.246308289E0,9.206455078E0
4.794066250E-1,5.924679565E-1,-1.561253357E0,8.034242706E0
4.893326250E-1,4.858895874E-1,-1.043330383E-1,5.826184387E0
4.992576250E-1,2.085163879E-1,1.180445251E0,4.210444336E0
5.091836250E-1,-5.337899780E-1,7.598199463E-1,3.939358063E0
5.191086250E-1,-1.084045715E0,-1.485061798E0,4.657265167E0
5.290346250E-1,-7.048841858E-1,-3.081641693E0,6.512956238E0
5.389596250E-1,2.604583740E-1,-7.780819702E-1,6.339467010E0
5.488856250E-1,-2.341131592E-1,1.877096558E0,5.439089355E0
5.588116250E-1,-1.463955688E-1,2.054926758E0,5.759872284E0
5.687366250E-1,-2.520758057E-1,9.110055542E-1,5.431305542E0
5.786626250E-1,-1.516945496E0,-5.248086548E-1,4.858596497E0
5.885876250E-1,-2.351460114E0,-1.959125977E0,9.066496124E0
5.985136250E-1,-3.812571716E-1,-6.686595154E-1,1.106304428E1
6.084386250E-1,1.304986267E0,2.363584900E-1,6.825506287E0
6.183646250E-1,2.752775574E-1,2.695893860E-1,3.425925751E0
6.282896250E-1,2.844235382E0,8.053253174E-2,3.220403137E0
6.382156250E-1,3.224295044E0,-1.683848419E0,4.304598541E0
6.481416250E-1,1.850751343E0,-1.738484802E0,4.395010529E0
6.580666250E-1,2.570903778E0,-1.661993866E0,4.033811646E0
6.679926250E-1,3.408412170E0,-2.533780975E0,4.557722168E0
6.779176250E-1,4.523144073E0,-2.975213013E0,5.125491486E0
6.878436250E-1,5.649551697E0,-3.207080841E0,5.861211548E0
6.977686250E-1,6.824757843E0,-2.928959198E0,5.347030792E0
7.076946250E-1,7.685168610E0,-2.775528259E0,4.485272827E0
7.176196250E-1,6.799011383E0,-3.483406219E0,2.911744995E0
7.275456250E-1,6.358327789E0,-4.368216248E0,2.532882843E0
7.374716250E-1,8.080047455E0,-4.329297180E0,5.019511871E0
7.473966250E-1,1.085228256E1,-3.406166840E0,7.955805817E0
7.573226250E-1,1.220157669E1,-3.221900024E0,8.583600311E0
7.672476250E-1,1.222013809E1,-4.367916870E0,7.877069550E0
7.771736250E-1,1.218585938E1,-5.187761993E0,7.769293671E0
7.870986250E-1,1.263492554E1,-5.407205658E0,8.146958313E0
7.970246250E-1,1.302426590E1,-4.966372375E0,8.300838318E0
8.069506250E-1,1.331840424E1,-5.404062195E0,8.553961945E0
