"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.193201542E-2,5.322970011E1,1.040408388E1,2.879020500E1,-1.000000000E0,-1.000000000E0,1.895196241E2,1.895196241E2
4.847896099E-2,5.322969481E1,1.040406459E1,2.879020500E1,-1.000000000E0,-1.000000000E0,2.120189431E2,2.120189431E2
4.355720282E-1,5.322969382E1,1.040391350E1,3.476850128E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.147377014E0,5.322969367E1,1.040391188E1,3.485065651E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.101905942E0,5.322968499E1,1.040390821E1,3.483005854E1,4.443362653E-1,2.422078094E2,1.943416199E1,1.943416199E1
4.051906109E0,5.322965169E1,1.040390653E1,3.327601359E1,1.959687233E0,1.907839656E2,1.855787707E1,1.855787707E1
5.001906157E0,5.322965448E1,1.040390558E1,3.326449314E1,1.380863905E0,1.907482606E2,1.837124319E1,1.837124319E1
5.951906562E0,5.322967251E1,1.040389137E1,3.326253293E1,1.380863905E0,2.322057354E2,3.727936794E1,3.727936794E1
6.901906610E0,5.322967975E1,1.040389149E1,3.326612060E1,6.365922689E-1,2.764411378E2,2.114675486E1,2.114675486E1
7.851906657E0,5.322967986E1,1.040389548E1,3.326436121E1,1.244963706E-1,3.023561334E2,1.491556590E1,1.491556590E1
8.801752925E0,5.322966272E1,1.040389181E1,3.326867948E1,3.562787175E-1,2.006113506E2,1.417483789E1,1.417483789E1
9.751171350E0,5.322965778E1,1.040389255E1,3.327059003E1,3.562787175E-1,1.909068852E2,1.391946007E1,1.391946007E1
1.070116389E1,5.322965780E1,1.040389829E1,3.326904961E1,3.607357144E-1,1.798582553E2,1.349216329E1,1.349216329E1
1.165176809E1,5.322965684E1,1.040389978E1,3.326975271E1,3.607357144E-1,1.823145707E2,1.320838463E1,1.320838463E1
1.260094678E1,5.322965887E1,1.040390058E1,3.326861189E1,2.876815796E-1,1.895658505E2,1.298625106E1,1.298625106E1
1.355093598E1,5.322966238E1,1.040391078E1,3.326669207E1,2.355773002E-1,1.538960732E2,1.275497896E1,1.275497896E1
1.454226327E1,5.322966574E1,1.040391622E1,3.326312801E1,2.474136502E-1,1.274376741E2,1.270605934E1,1.270605934E1
1.554183841E1,5.322966574E1,1.040391622E1,3.326312808E1,2.474136502E-1,-1.000000000E0,1.270605934E1,1.270605934E1
1.654182518E1,5.322967647E1,1.040391901E1,3.325999227E1,2.399840653E-1,-1.000000000E0,1.288443784E1,1.288443784E1
1.754267240E1,5.322968462E1,1.040391467E1,3.325544422E1,2.474136502E-1,-1.000000000E0,1.509016024E1,1.509016024E1
1.854289532E1,5.322969151E1,1.040390572E1,3.326007423E1,3.353335559E-1,-1.000000000E0,1.613528687E1,1.613528687E1
1.954287636E1,5.322970269E1,1.040390223E1,3.326256989E1,4.395750463E-1,-1.000000000E0,1.706081957E1,1.706081957E1
2.054215395E1,5.322971168E1,1.040391020E1,3.326380751E1,4.395750463E-1,-1.000000000E0,1.528167026E1,1.528167026E1
2.154224479E1,5.322971334E1,1.040391325E1,3.325832187E1,4.395750463E-1,-1.000000000E0,1.528307170E1,1.528307170E1
2.254223466E1,5.322970919E1,1.040390955E1,3.324868649E1,4.308469296E-1,-1.000000000E0,3.354065963E1,3.354065963E1
2.354222465E1,5.322970033E1,1.040390685E1,3.324265734E1,1.289710402E-1,-1.000000000E0,4.911642882E1,4.911642882E1
2.454221487E1,5.322970232E1,1.040389712E1,3.324018612E1,1.469553411E-1,-1.000000000E0,1.742384552E1,1.742384552E1
2.554220569E1,5.322970765E1,1.040389904E1,3.324037554E1,1.567587554E-1,-1.000000000E0,1.816481227E1,1.816481227E1
2.654219675E1,5.322971231E1,1.040389706E1,3.324420856E1,2.011817098E-1,-1.000000000E0,1.862976131E1,1.862976131E1
2.754218829E1,5.322972358E1,1.040389442E1,3.324251489E1,2.472403347E-1,-1.000000000E0,1.933858255E1,1.933858255E1
2.854218161E1,5.322972047E1,1.040388969E1,3.324081202E1,2.219457477E-1,-1.000000000E0,1.963710685E1,1.963710685E1
2.954217410E1,5.322971371E1,1.040387024E1,3.324072341E1,3.782292008E-1,-1.000000000E0,2.057478025E1,2.057478025E1
3.054216766E1,5.322970572E1,1.040386352E1,3.324572664E1,3.782292008E-1,-1.000000000E0,2.154874837E1,2.154874837E1
3.154216111E1,5.322970572E1,1.040386352E1,3.324572664E1,0.000000000E0,-1.000000000E0,2.248133202E1,2.248133202E1
3.254215527E1,5.322968316E1,1.040385868E1,3.324754458E1,3.792821467E-1,-1.000000000E0,2.349322416E1,2.349322416E1
3.354214919E1,5.322967428E1,1.040384725E1,3.325351870E1,5.753626823E-1,-1.000000000E0,7.085573546E1,7.085573546E1
